candidate_id,n,h,d,k,a,w,q_reference,budget_label,q_eval,comb_security_bits,budget_penalty_bits,budget_security_bits,poseidon2_security_bits,claimed_security_bits,target_bits,security_pass
9,16,60,6,14,10,16,65536,q,65536,128,0,128,128,128,128,1
9,16,60,6,14,10,16,65536,2q,131072,128,1,127,128,127,128,0
9,16,60,6,14,10,16,65536,2^20,1048576,128,4,124,128,124,128,0
9,16,60,6,14,10,16,65536,2^30,1073741824,128,14,114,128,114,128,0
13,16,60,6,14,12,16,65536,q,65536,128,0,128,128,128,128,1
13,16,60,6,14,12,16,65536,2q,131072,128,1,127,128,127,128,0
13,16,60,6,14,12,16,65536,2^20,1048576,128,4,124,128,124,128,0
13,16,60,6,14,12,16,65536,2^30,1073741824,128,14,114,128,114,128,0
41,16,60,6,22,6,16,65536,q,65536,128,0,128,128,128,128,1
41,16,60,6,22,6,16,65536,2q,131072,128,1,127,128,127,128,0
41,16,60,6,22,6,16,65536,2^20,1048576,128,4,124,128,124,128,0
41,16,60,6,22,6,16,65536,2^30,1073741824,128,14,114,128,114,128,0
