candidate_id,n,h,d,k,a,w,q,sig_bytes,sign_ms,verify_ms,witness_rows,prove_e2e_ms_median,proof_bytes,claimed_security_bits
9,16,60,6,14,10,16,65536,6800,34229.064,19.105,19930,22.654,22412,128
13,16,60,6,14,12,16,65536,7248,34348.821,18.663,20294,22.540,22541,128
29,16,60,6,17,10,16,65536,7328,33461.011,18.509,21844,22.637,22731,128
41,16,60,6,22,6,16,65536,6800,32652.622,19.275,21910,22.169,23087,128
53,16,60,6,22,12,16,65536,8912,35214.303,21.160,22471,22.722,23761,128
61,16,60,6,33,6,16,65536,8032,32833.710,18.636,20436,21.675,22221,128
2425,16,66,6,17,8,16,65536,6880,66153.005,18.861,19995,21.800,22510,128
2429,16,66,6,17,10,16,65536,7424,67078.184,21.394,21592,22.781,24051,128
2453,16,66,6,22,12,16,65536,9008,68102.277,20.651,22384,22.753,24017,128
2465,16,66,6,33,8,16,65536,9184,65544.763,19.464,22362,22.767,21768,128
