candidate_id,n,h,d,k,a,w,q,tree_height,tree_bits,leaf_bits,wots_logw,wots_len1,wots_len2,wots_len,fors_msg_bits,fors_msg_bytes,hmsg_needed_bytes,pk_bytes,sk_bytes,sig_bytes,struct_pass,reject_reason,security_model,target_bits,poseidon2_floor_bits,q_reference,comb_security_bits,budget_penalty_bits,budget_security_bits,poseidon2_security_bits,claimed_security_bits,security_pass,security_reject_reason
9,16,60,6,14,10,16,65536,10,50,10,4,32,3,35,140,18,27,32,64,6800,1,,proxy-v1,128,128,65536,128,0,128,128,128,1,
41,16,60,6,22,6,16,65536,10,50,10,4,32,3,35,132,17,26,32,64,6800,1,,proxy-v1,128,128,65536,128,0,128,128,128,1,
2425,16,66,6,17,8,16,65536,11,55,11,4,32,3,35,136,17,26,32,64,6880,1,,proxy-v1,128,128,65536,128,0,128,128,128,1,
13,16,60,6,14,12,16,65536,10,50,10,4,32,3,35,168,21,30,32,64,7248,1,,proxy-v1,128,128,65536,128,0,128,128,128,1,
29,16,60,6,17,10,16,65536,10,50,10,4,32,3,35,170,22,31,32,64,7328,1,,proxy-v1,128,128,65536,128,0,128,128,128,1,
2429,16,66,6,17,10,16,65536,11,55,11,4,32,3,35,170,22,31,32,64,7424,1,,proxy-v1,128,128,65536,128,0,128,128,128,1,
61,16,60,6,33,6,16,65536,10,50,10,4,32,3,35,198,25,34,32,64,8032,1,,proxy-v1,128,128,65536,128,0,128,128,128,1,
53,16,60,6,22,12,16,65536,10,50,10,4,32,3,35,264,33,42,32,64,8912,1,,proxy-v1,128,128,65536,128,0,128,128,128,1,
2453,16,66,6,22,12,16,65536,11,55,11,4,32,3,35,264,33,42,32,64,9008,1,,proxy-v1,128,128,65536,128,0,128,128,128,1,
2465,16,66,6,33,8,16,65536,11,55,11,4,32,3,35,264,33,42,32,64,9184,1,,proxy-v1,128,128,65536,128,0,128,128,128,1,
